call_type,call_sub_type,category,count
COMPLAINT,COLLECTION CENTRE,INFORMATION NOT RECEIVED,1
COMPLAINT,SR/TSO RELATED,NOT SCANNED,1
COMPLAINT,SR/TSO RELATED,SAMPLE COLLECTION TIME NOT / WRONGLY MEN,1
COMPLAINT,FINANCE RELATED,PAYMENT NOT DONE FOR PARTENER,1
COMPLAINT,CUSTOMER CARE RELATED,REPORTING SCHEDULE NOT CONVEYED,1
COMPLAINT,PROCESSING LAB RELATED,SAMPLE LATE / NOT DISPATCHED,1
COMPLAINT,COLLECTION CENTRE,BEHAVIOUR RELATED,1
ENQUIRY,DIGITAL MARKETING,E-HEALTH / E-COMMERCE,1
ENQUIRY,REPORT RELATED,SAMPLE STATUS,1
ENQUIRY,MARKETING RELATED,FRANCHISEE TIE UP,1
COMPLAINT,LOGISTIC RELATED,LATE DELIVERED,1
COMPLAINT,SR/TSO RELATED,UNTRACABLE SAMPLES,1
COMPLAINT,HLM RELATED,WRONG / INCOMPLETE INFO. PROVIDED -TECH/STAFF,1
COMPLAINT,HLM RELATED,UNTRACABLE SAMPLES,1
REQUEST,REGISTRATION RELATED,DUPLICATE BILL,1
COMPLAINT,PROCESSING LAB RELATED,PAYMENT / BILL RELATED ISSUE,1
COMPLAINT,COLLECTION CENTRE,LATE OPENING / EARLY CLOSING RELATED,1
COMPLAINT,CUSTOMER CARE RELATED,INCORRECT PRECONDITIONS INFORMED,1
COMPLAINT,CUSTOMER CARE RELATED,PRECONDITIONS NOT INFORMED,1
COMPLAINT,IT RELATED,TELEPHONE ISSUE,1
COMPLAINT,CUSTOMER CARE RELATED,BEHAVIOUR RELATED,1
COMPLAINT,HLM RELATED,BRIEF CLINICAL DETAILS NOT AVAIL(BCD)/USG NOT ATTACHED,1
REQUEST,REPORT RELATED,DUPLICATE REPORT,1
COMPLAINT,MARKETING RELATED,SMS NOT SENT,1
COMPLAINT,SR/TSO RELATED,SHARED SAMPLE,1
COMPLAINT,SR/TSO RELATED,TYPE/SITE OF SPECIMEN NOT REGD,1
REQUEST,OTHERS,HOME COLLECTION SLOT CONFIRMATION,1
REQUEST,DEPARTMENT RELATED,ADDITION OF TEST,1
COMPLAINT,HOME COLLECTION RELATED,DISCOUNT RELATED,1
COMPLAINT,HOME COLLECTION RELATED,INFORMATION NOT RECEIVED,1
REQUEST,OTHERS,HOME COLLECTION CANCELLATION,1
COMPLAINT,CUSTOMER CARE RELATED,NO TAGGING DONE,1
COMPLAINT,COLLECTION CENTRE,TECHNICIAN RELATED ERROR,1
REQUEST,REGISTRATION RELATED,TEST MODIFICATION,1
COMPLAINT,SALES TEAM RELATED,NO VISIT RELATED,1
COMPLAINT,LOGISTIC RELATED,DELIVERED AT WRONG CENTRE,1
COMPLAINT,HOME COLLECTION RELATED,WRONG CC NAME/CODE MEN,1
COMPLAINT,SALES TEAM RELATED,BEHAVIOUR RELATED,1
COMPLAINT,SR/TSO RELATED,WEIGHT / HEIGHT / CLINICAL HISTORY/ TV/GLU. LOAD NOT REGD,1
COMPLAINT,CUSTOMER CARE RELATED,REPORT SENT ON INCORRECT E-MAIL ID,1
COMPLAINT,PROCESSING LAB RELATED,UNTRACABLE SAMPLES,1
COMPLAINT,CUSTOMER CARE RELATED,TAGGED UNDER INCORRECT TYPE,1
COMPLAINT,COLLECTION CENTRE,EQUIPMENTS NOT WORKING / HANDLED PROPERLY,1
COMPLAINT,SR/TSO RELATED,WRONG RESULT ENTERED,1
ENQUIRY,REPORT RELATED,DEFICIENCY INFO,1
COMPLAINT,COLLECTION CENTRE,FACILITY NOT CLEANED,1
ENQUIRY,DETAILS RELATED,CONTACT PERSON DETAILS,1
ENQUIRY,DETAILS RELATED,LOCATION ADDRESS,1
COMPLAINT,LOGISTIC RELATED,BEHAVIOUR RELATED,1
COMPLAINT,SR/TSO RELATED,LATE REGISTRATION / WRONG SAMPLE COLLECTION TIME REGD,1
COMPLAINT,PROCESSING LAB RELATED,BEHAVIOUR RELATED,1
COMPLAINT,PROCESSING LAB RELATED,SHARED SAMPLE,1
REQUEST,OTHERS,ORDER CANCELLATION,1
ENQUIRY,REPORT RELATED,REPEAT INFO,1
COMPLAINT,HLM RELATED,BARCODE RELATED,1
COMPLAINT,CUSTOMER CARE RELATED,INCORRECT REPORTING SCHEDULE CONVEYED,1
COMPLAINT,SR/TSO RELATED,PATIENT DEMOGRAPHICS NOT/WRONGLY REGD,1
COMPLAINT,SR/TSO RELATED,DOCTOR NAME NOT/WRONGLY REGD,1
COMPLAINT,MARKETING RELATED,INFORMATION NOT RECEIVED,1
COMPLAINT,HLM RELATED,BEHAVIOUR RELATED,1
COMPLAINT,PROCESSING LAB RELATED,WRONG / INCOMPLETE INFO. PROVIDED -TECH/STAFF,1
COMPLAINT,PROCESSING LAB RELATED,LATE OPENING / EARLY CLOSING RELATED,1
COMPLAINT,HOME COLLECTION RELATED,WEIGHT / HEIGHT / CLINICAL HISTORY/ TV/GLU. LOAD NOT MEN,1
COMPLAINT,LOGISTIC RELATED,NO PICKUP,1
REQUEST,REPORT RELATED,REPORT UPLOADING,1
ENQUIRY,OTHERS,FOUNDATION ONE RELATED,1
ENQUIRY,MARKETING RELATED,CAMP PROMOTION,1
COMPLAINT,SR/TSO RELATED,ADDITON/DELETION NOT UPDATED,1
COMPLAINT,HOME COLLECTION RELATED,EXTRA TEST MEN,1
COMPLAINT,CUSTOMER CARE RELATED,INCORRECT TEST INFORMATION CONVEYED,1
COMPLAINT,HOME COLLECTION RELATED,BRIEF CLINICAL DETAILS NOT AVAIL(BCD)/USG NOT ATTACHED,1
COMPLAINT,HLM RELATED,INFORMATION NOT RECEIVED,1
COMPLAINT,PROCESSING LAB RELATED,WRONG RESULT RELATED,1
ENQUIRY,REPORT RELATED,RESULTS DISCRIPENCY,1
COMPLAINT,IT RELATED,PRI NOT WORKING,1
COMPLAINT,COLLECTION CENTRE,USG NOT ATTACHED,1
COMPLAINT,PROCESSING LAB RELATED,BARCODE RELATED,1
COMPLAINT,COLLECTION CENTRE,UNTRACABLE SAMPLES,1
ENQUIRY,DIGITAL MARKETING,WEBSITE RELATED,1
COMPLAINT,COLLECTION CENTRE,SITTING ARRANGEMENT,1
COMPLAINT,LOGISTIC RELATED,INFORMATION NOT RECEIVED,1
REQUEST,DEPARTMENT RELATED,SAMPLE HOLD,1
ENQUIRY,TEST RELATED,SAMPLE COLLECTION CRITERIA,1
COMPLAINT,COLLECTION CENTRE,SAMPLE LATE / NOT DISPATCHED,1
COMPLAINT,MARKETING RELATED,DETAILS NOT UPDATED,1
COMPLAINT,SR/TSO RELATED,WRONG CC NAME/CODE REGD,1
COMPLAINT,SR/TSO RELATED,PROCESSING CODE NOT CHANGED,1
COMPLAINT,IT RELATED,LABMATE SPEED SLOW,1
COMPLAINT,PROCESSING LAB RELATED,INCORRECT / LATE SHIPMENT,1
REQUEST,ESCALATION,TECHNICAL QUERY,1
ENQUIRY,DETAILS RELATED,LOCATION CONTACT NUMBER,1
COMPLAINT,HOME COLLECTION RELATED,DELAYED VISIT,1
COMPLAINT,MARKETING RELATED,PROMOTIONAL MATERIAL NOT RECEIVED,1
COMPLAINT,LOGISTIC RELATED,UNTRACABLE SAMPLES,1
ENQUIRY,DETAILS RELATED,OPERATIONAL TIMINGS,1
ENQUIRY,MARKETING RELATED,PROMOTION AND OFFERS,1
COMPLAINT,HLM RELATED,DISCOUNT RELATED,1
COMPLAINT,COLLECTION CENTRE,WRONG / INCOMPLETE INFO. PROVIDED -TECH/STAFF,1
COMPLAINT,HLM RELATED,SAMPLE LATE / NOT DISPATCHED,1
COMPLAINT,MARKETING RELATED,BEHAVIOUR RELATED,1
COMPLAINT,SR/TSO RELATED,SNR INFO. NOT UPDATED,1
COMPLAINT,HOME COLLECTION RELATED,TECHNICIAN RELATED ERROR,1
COMPLAINT,PROCESSING LAB RELATED,INFORMATION NOT RECEIVED,1
COMPLAINT,CUSTOMER CARE RELATED,GUIDED TO INAPPROPRIATE LOCATION,1
ENQUIRY,MARKETING RELATED,CORPORATE CLIENT /TIE UPS,1
REQUEST,DEPARTMENT RELATED,FNAC SLIDES AND BLOCKS,1
COMPLAINT,IT RELATED,CONNECTIVITY ISSUE,1
COMPLAINT,COLLECTION CENTRE,BARCODE RELATED,1
REQUEST,OTHERS,HOME COLLECTION BOOKING,1
